playerName,playerPrice,playerPos,playerClub,playerImg,TotalPoints,Goals,Assists,BallsRecov
Jorginho,5.3,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250067749.jpg?v=4.07,15,1,0,10
J. Bynoe-Gittens,5.3,MID,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250153402.jpg?v=4.07,13,1,0,2
F. Mendy,5.3,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250112803.jpg?v=4.07,11,0,0,10
A. Zakharyan,5.3,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250129880.jpg?v=4.07,9,0,0,7
M. Alonso,5.3,DEF,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250008348.jpg?v=4.07,6,0,0,9
D. Carvajal,5.3,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250024448.jpg?v=4.07,6,0,0,11
O. Zinchenko,5.3,DEF,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250056861.jpg?v=4.07,6,0,0,13
J. Stones,5.3,DEF,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250064233.jpg?v=4.07,4,0,0,5
Danilo,5.3,MID,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250014528.jpg?v=4.07,3,0,0,2
M. Grujić,5.3,MID,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250055207.jpg?v=4.07,2,0,0,1
Sergi Roberto,5.3,MID,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250006092.jpg?v=4.07,2,0,0,2
R. Falk,5.2,MID,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250004106.jpg?v=4.07,32,0,1,28
M. Hummels,5.1,DEF,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/106587.jpg?v=4.07,40,0,0,57
M. Zubimendi,5.1,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250143679.jpg?v=4.07,32,0,0,35
F. Nmecha,5.1,MID,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250112224.jpg?v=4.07,15,1,0,7
J. Cajuste,5.1,MID,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250121175.jpg?v=4.07,4,0,0,5
Carlos Fernández,5.1,FWD,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250067964.jpg?v=4.07,3,0,0,1
G. Kobel,5,GK,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250069832.jpg?v=4.07,32,0,0,0
D. Upamecano,5,DEF,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250079545.jpg?v=4.07,29,0,0,28
L. Hernández,5,DEF,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250063803.jpg?v=4.07,28,1,0,27
I. Provedel,5,GK,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250088946.jpg?v=4.07,28,1,0,0
K. Diks,5,DEF,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250078678.jpg?v=4.07,27,0,0,33
M. Kim,5,DEF,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250175065.jpg?v=4.07,26,0,0,46
Nacho,5,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1900122.jpg?v=4.07,24,0,0,29
J. Teze,5,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250088122.jpg?v=4.07,24,1,0,24
D. Raya,5,GK,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250171278.jpg?v=4.07,22,0,0,0
A. Rrahmani,5,DEF,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250059233.jpg?v=4.07,20,0,0,24
A. Ramalho,5,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250030823.jpg?v=4.07,20,0,0,30
J. Koundé,5,DEF,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250096309.jpg?v=4.07,19,0,0,22
M. Simakan,5,DEF,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250132434.jpg?v=4.07,18,1,0,22
J. Giménez,5,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250063505.jpg?v=4.07,14,0,1,13
T. Kubo,5,FWD,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250147279.jpg?v=4.07,13,0,0,8
Mário Rui,5,DEF,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1907928.jpg?v=4.07,13,0,1,3
S. De Vrij,5,DEF,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250006229.jpg?v=4.07,13,0,0,27
André Franco,5,MID,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250102294.jpg?v=4.07,12,0,1,5
K. Tierney,5,DEF,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250067541.jpg?v=4.07,8,0,0,3
R. Guerreiro,5,DEF,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250066156.jpg?v=4.07,8,0,0,4
Mauro Júnior,5,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250122213.jpg?v=4.07,4,0,0,7
P. Gulácsi,5,GK,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/102420.jpg?v=4.07,3,0,0,0
A. Ramsdale,5,GK,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250105912.jpg?v=4.07,3,0,0,0
I. Babadi,5,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250169763.jpg?v=4.07,1,0,0,2
G. Gaetano,5,MID,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101412.jpg?v=4.07,1,0,0,1
C. Sagoe Jr,5,FWD,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250178066.jpg?v=4.07,0,0,0,0
E. Højlund,5,FWD,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250166947.jpg?v=4.07,0,0,0,0
J. Uneken,5,FWD,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187770.jpg?v=4.07,0,0,0,0
Reinildo,5,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250132831.jpg?v=4.07,0,0,0,0
M. Nassoh,5,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250148142.jpg?v=4.07,0,0,0,0
P. Kimpembe,5,DEF,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250064583.jpg?v=4.07,0,0,0,0
K. Babacar,5,FWD,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250011547.jpg?v=4.07,0,0,0,0
Á. Rodríguez,5,FWD,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250169301.jpg?v=4.07,0,0,0,0
J. Simons,5,FWD,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187787.jpg?v=4.07,0,0,0,0
A. Raihani,5,FWD,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250176607.jpg?v=4.07,0,0,0,0
T. Kaufmann,5,FWD,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250164042.jpg?v=4.07,0,0,0,0
G. Veron,5,FWD,POR,https://gaming.uefa.com/en/uclfantasy/static-assets/ucl2020/images/default_player@2x.png?v=5.4,0,0,0,0
K. Navas,5,GK,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250031037.jpg?v=4.07,0,0,0,0
J. Kwaaitaal,5,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187772.jpg?v=4.07,0,0,0,0
J. Duranville,5,MID,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250172227.jpg?v=4.07,0,0,0,0
S. Bamba,5,FWD,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134651.jpg?v=4.07,0,0,0,0
W. Orbán,5,DEF,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250051754.jpg?v=4.07,0,0,0,0
J. Gonzaga,5,FWD,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250174751.jpg?v=4.07,0,0,0,0
Paco Esteban,5,FWD,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250171665.jpg?v=4.07,0,0,0,0
P. Marín,5,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250177917.jpg?v=4.07,0,0,0,0
J. Van Duiven,5,FWD,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250171170.jpg?v=4.07,0,0,0,0
A. Alarcon,5,FWD,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250129963.jpg?v=4.07,0,0,0,0
A. Muñoz,4.9,DEF,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250147203.jpg?v=4.07,37,0,1,28
R. Lewis,4.9,DEF,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250139207.jpg?v=4.07,27,0,2,19
A. Meret,4.9,GK,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250066753.jpg?v=4.07,19,0,0,0
M. Akanji,4.9,DEF,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250085369.jpg?v=4.07,17,1,0,17
A. Christensen,4.9,DEF,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250041718.jpg?v=4.07,16,0,0,22
O. Romeu,4.9,MID,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1906768.jpg?v=4.07,14,0,0,18
W. Benitez,4.9,GK,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101144.jpg?v=4.07,14,0,0,0
Kepa,4.9,GK,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250039900.jpg?v=4.07,11,0,0,0
J. Cuadrado,4.9,DEF,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250015966.jpg?v=4.07,6,0,0,4
P. Aanholt,4.9,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/108915.jpg?v=4.07,4,0,0,4
Gonçalo Borges,4.9,FWD,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250113342.jpg?v=4.07,1,0,0,1
I. Zubeldia,4.8,DEF,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250112514.jpg?v=4.07,36,0,0,37
Pepe,4.8,DEF,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/95417.jpg?v=4.07,31,2,0,24
D. Raum,4.8,DEF,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250110361.jpg?v=4.07,27,1,1,27
R. Riquelme,4.8,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101313.jpg?v=4.07,13,0,0,9
S. Savić,4.8,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1907998.jpg?v=4.07,12,0,0,16
N. Süle,4.8,DEF,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250041781.jpg?v=4.07,12,0,0,8
M. Wolf,4.8,DEF,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250088942.jpg?v=4.07,12,0,0,10
Francisco Conceição,4.8,FWD,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250117405.jpg?v=4.07,12,1,1,2
A. Haidara,4.8,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250102866.jpg?v=4.07,7,0,0,10
K. Asllani,4.8,MID,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250143669.jpg?v=4.07,6,0,0,7
M. Elneny,4.8,MID,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250056993.jpg?v=4.07,3,0,0,1
Çağlar Söyüncü,4.8,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250082679.jpg?v=4.07,1,0,0,3
M. Lazzari,4.7,DEF,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250122732.jpg?v=4.07,22,0,0,20
O. Boscagli,4.7,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250068808.jpg?v=4.07,19,0,0,33
A. Lunin,4.7,GK,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250089824.jpg?v=4.07,13,0,0,0
M. Olivera,4.7,DEF,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250134196.jpg?v=4.07,7,0,0,12
C. Sørensen,4.7,DEF,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250007241.jpg?v=4.07,2,0,0,2
J. Galán,4.7,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250186923.jpg?v=4.07,1,0,0,3
H. Traoré,4.6,DEF,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250123016.jpg?v=4.07,29,0,0,30
D. Vavro,4.6,DEF,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250058731.jpg?v=4.07,29,0,0,48
F. Acerbi,4.6,DEF,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250052957.jpg?v=4.07,28,0,1,20
F. Lopez,4.6,MID,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250164780.jpg?v=4.07,21,1,1,11
João Mário,4.6,DEF,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250113343.jpg?v=4.07,20,0,1,15
A. Barrenetxea,4.6,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250128806.jpg?v=4.07,20,1,1,6
J. Ryerson,4.6,DEF,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250092517.jpg?v=4.07,20,0,0,22
S. Dest,4.6,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250112998.jpg?v=4.07,19,0,1,22
K. Phillips,4.6,MID,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250143242.jpg?v=4.07,10,1,0,6
M. Cho,4.6,FWD,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250163235.jpg?v=4.07,5,0,0,1
C. Azpilicueta,4.6,DEF,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/103827.jpg?v=4.07,4,0,0,11
D. Namaso,4.6,FWD,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250104093.jpg?v=4.07,3,0,0,1
D. Cataldi,4.6,MID,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250039679.jpg?v=4.07,3,0,0,2
Natan,4.5,DEF,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187998.jpg?v=4.07,28,0,1,29
Y. Sommer,4.5,GK,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/97746.jpg?v=4.07,26,0,0,0
K. Grabara,4.5,GK,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250090273.jpg?v=4.07,22,0,0,0
R. Le Normand,4.5,DEF,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250112513.jpg?v=4.07,22,0,0,23
Lucas Vázquez,4.5,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250040521.jpg?v=4.07,19,0,1,13
Castello Lukeba,4.5,DEF,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250124068.jpg?v=4.07,19,0,0,37
A. Varela,4.5,MID,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250188256.jpg?v=4.07,17,0,0,17
A. Romagnoli,4.5,DEF,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250047045.jpg?v=4.07,17,0,1,15
J. Blaswich,4.5,GK,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250051291.jpg?v=4.07,14,0,1,0
E. Hysaj,4.5,DEF,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250023520.jpg?v=4.07,13,0,0,14
N. Aké,4.5,DEF,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250027008.jpg?v=4.07,12,0,0,15
S. Ulreich,4.5,GK,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1902445.jpg?v=4.07,7,0,0,0
A. Obispo,4.5,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250088117.jpg?v=4.07,3,0,0,4
Cédric,4.5,DEF,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1907940.jpg?v=4.07,2,0,0,2
J. Magunacelaya,4.5,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250163316.jpg?v=4.07,1,0,0,0
T. Abed,4.5,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250169135.jpg?v=4.07,0,0,0,0
S. Nhaga,4.5,DEF,PAR,https://gaming.uefa.com/en/uclfantasy/static-assets/ucl2020/images/default_player@2x.png?v=5.4,0,0,0,0
I. Grbić,4.5,GK,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250056074.jpg?v=4.07,0,0,0,0
A. Dadie,4.5,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250163315.jpg?v=4.07,0,0,0,0
J. Castellanos,4.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250189145.jpg?v=4.07,0,0,0,0
T. Jørgensen,4.5,MID,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250177683.jpg?v=4.07,0,0,0,0
I. Marcano,4.5,DEF,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250003525.jpg?v=4.07,0,0,0,0
T. Van Den Heuvel,4.5,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250171169.jpg?v=4.07,0,0,0,0
A. Kamara,4.5,MID,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250135675.jpg?v=4.07,0,0,0,0
T. Land,4.5,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250180112.jpg?v=4.07,0,0,0,0
D. Frey,4.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250171921.jpg?v=4.07,0,0,0,0
Á. Calatrava,4.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250189153.jpg?v=4.07,0,0,0,0
J. Diaz,4.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250164593.jpg?v=4.07,0,0,0,0
S. El Jebari,4.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250154047.jpg?v=4.07,0,0,0,0
Emir Bars,4.5,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250166991.jpg?v=4.07,0,0,0,0
E. Mbappe,4.5,MID,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250189110.jpg?v=4.07,0,0,0,0
E. Bitshiabu,4.5,DEF,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250153851.jpg?v=4.07,0,0,0,0
D. Muñoz,4.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250164602.jpg?v=4.07,0,0,0,0
D. Peretz,4.5,GK,BAY,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250105664.jpg?v=4.07,0,0,0,0
Simon Schierack,4.5,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250153443.jpg?v=4.07,0,0,0,0
D. Gilbert,4.5,MID,PSV,https://gaming.uefa.com/en/uclfantasy/static-assets/ucl2020/images/default_player@2x.png?v=5.4,0,0,0,0
S. Guerrero,4.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250189163.jpg?v=4.07,0,0,0,0
I. Houben,4.5,MID,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250139065.jpg?v=4.07,0,0,0,0
A. Meyer,4.5,GK,DOR,https://gaming.uefa.com/en/uclfantasy/static-assets/ucl2020/images/default_player@2x.png?v=5.4,0,0,0,0
Bernardo Folha,4.5,MID,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250135929.jpg?v=4.07,0,0,0,0
J. Olasagasti,4.5,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250147530.jpg?v=4.07,0,0,0,0
S. Sambo,4.5,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250106755.jpg?v=4.07,0,0,0,0
J. Gorrotxategi,4.5,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250177915.jpg?v=4.07,0,0,0,0
P. Gollini,4.5,GK,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250058930.jpg?v=4.07,0,0,0,0
Gonzalo,4.5,FWD,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250164226.jpg?v=4.07,0,0,0,0
C. Ndour,4.5,MID,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250139232.jpg?v=4.07,0,0,0,0
W. Clem,4.5,MID,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250169615.jpg?v=4.07,0,0,0,0
N. Sahsah,4.5,MID,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250167071.jpg?v=4.07,0,0,0,0
Aitor Gismera,4.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250135497.jpg?v=4.07,0,0,0,0
A. Garrido,4.5,MID,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250164776.jpg?v=4.07,0,0,0,0
W. Osawe,4.5,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250176270.jpg?v=4.07,0,0,0,0
A. Niño,4.5,MID,ATM,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250154054.jpg?v=4.07,0,0,0,0
M. Tanlongo,4.5,MID,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250182333.jpg?v=4.07,0,0,0,0
A. Lebarbier,4.5,MID,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187655.jpg?v=4.07,0,0,0,0
L. Johanns,4.5,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250176274.jpg?v=4.07,0,0,0,0
M. Lotka,4.5,GK,DOR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250109378.jpg?v=4.07,0,0,0,0
E. Jelert,4.4,DEF,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250159445.jpg?v=4.07,21,0,0,29
A. Marušic,4.4,DEF,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250081989.jpg?v=4.07,15,0,0,21
L. Østigård,4.4,DEF,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250091222.jpg?v=4.07,12,1,0,7
T. Tomiyasu,4.4,DEF,ARS,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250177964.jpg?v=4.07,11,0,1,12
Zaidu,4.4,DEF,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250144327.jpg?v=4.07,11,0,0,13
N. Seiwald,4.4,MID,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250114167.jpg?v=4.07,9,0,0,12
L. Klostermann,4.4,DEF,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250058260.jpg?v=4.07,9,0,0,19
N. Paz,4.4,MID,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250153621.jpg?v=4.07,9,1,0,3
N. Boilesen,4.4,DEF,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/1905874.jpg?v=4.07,8,0,0,3
Wendell,4.4,DEF,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250074376.jpg?v=4.07,6,0,0,8
Fábio Cardoso,4.4,DEF,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250054426.jpg?v=4.07,5,0,0,12
I. Jaime,4.4,MID,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250102736.jpg?v=4.07,5,0,0,3
Y. Bisseck,4.4,DEF,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250116951.jpg?v=4.07,5,0,1,5
B. Meling,4.4,DEF,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250082812.jpg?v=4.07,4,0,1,5
S. Ortega,4.4,GK,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250028705.jpg?v=4.07,3,0,0,0
A. Zanoli,4.4,DEF,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250124296.jpg?v=4.07,1,0,0,0
M. Darmian,4.3,DEF,INT,https://img.uefa.com/imgml/TP/players/1/2024/75x75/103806.jpg?v=4.07,17,0,0,12
B. Henrichs,4.3,DEF,RBL,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250058258.jpg?v=4.07,14,0,2,19
Fran García,4.3,DEF,RMA,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250091175.jpg?v=4.07,12,0,1,16
Juan Jesus,4.3,DEF,NAP,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250045594.jpg?v=4.07,11,0,0,14
A. Elustondo,4.3,DEF,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250074621.jpg?v=4.07,6,0,0,12
Iñigo Martínez,4.3,DEF,BAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250040471.jpg?v=4.07,5,0,0,5
N. Casale,4.3,DEF,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250138626.jpg?v=4.07,3,0,0,8
N. Rovella,4.3,MID,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250118783.jpg?v=4.07,3,0,0,6
V. Lund,4.3,DEF,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250130224.jpg?v=4.07,1,0,0,1
A. Bella-Kotchap,4.3,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250163289.jpg?v=4.07,1,0,0,3
J. Sánchez,4.2,DEF,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250090668.jpg?v=4.07,8,0,0,11
L. Pellegrini,4.2,DEF,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250088146.jpg?v=4.07,4,0,0,5
N. Mukiele,4.2,DEF,PAR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250121329.jpg?v=4.07,2,0,0,1
A. Remiro,4.1,GK,RSO,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250066244.jpg?v=4.07,30,0,0,0
Patric,4.1,DEF,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250065837.jpg?v=4.07,22,0,0,27
Sergio Gómez,4.1,DEF,MCI,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250101274.jpg?v=4.07,7,0,0,9
Nico González,4.1,MID,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250123952.jpg?v=4.07,4,0,0,2
O. Højlund,4.1,MID,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250166946.jpg?v=4.07,4,0,0,1
P. Ankersen,4,DEF,CPH,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250020385.jpg?v=4.07,19,0,0,31
David Carmo,4,DEF,POR,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250117455.jpg?v=4.07,16,0,0,25
Mario Gila,4,DEF,LAZ,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250125051.jpg?v=4.07,12,0,0,18
Iñaki Peña,4,GK,BAR,https://gaming.uefa.com/en/uclfantasy/static-assets/ucl2020/images/default_player@2x.png?v=5.4,4,0,0,0
F. Oppegård,4,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250127024.jpg?v=4.07,1,0,0,0
T. Smolenaars,4,GK,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250187771.jpg?v=4.07,0,0,0,0
R. Tytens,4,DEF,PSV,https://img.uefa.com/imgml/TP/players/1/2024/75x75/250182164.jpg?v=4.07,0,0,0,0
