playerName,playerPrice,playerPos,playerClub,playerImg,TotalPoints,Goals,Assists,BallsRecov
B. Šeško,7,FWD,SVN,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
D. Malen,7,FWD,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250081555.jpg?v=0.06,0,0,0,0
R. Orsolini,7,MID,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250112400.jpg?v=0.06,0,0,0,0
P. Gross,7,MID,GER,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
Y. Carrasco,7,MID,BEL,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250040959.jpg?v=0.06,0,0,0,0
L. Openda,7,FWD,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
T. Muller,7,FWD,GER,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250003318.jpg?v=0.06,0,0,0,0
S. Gnabry,7,FWD,GER,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250041770.jpg?v=0.06,0,0,0,0
C. Nkunku,7,MID,FRA,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
M. Thuram,7,FWD,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250068805.jpg?v=0.06,0,0,0,0
J. Bowen,7,FWD,ENG,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
J. Wind,7,FWD,DEN,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250089514.jpg?v=0.06,0,0,0,0
A. Milik,7,FWD,POL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
M. Arnautović,7,FWD,AUT,https://img.uefa.com/imgml/TP/players/3/2024/324x324/1903428.jpg?v=0.06,0,0,0,0
S. Berghuis,7,FWD,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250014668.jpg?v=0.06,0,0,0,0
S. Bergwijn,7,FWD,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066551.jpg?v=0.06,0,0,0,0
K. Aktürkoğlu,7,FWD,TUR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250146674.jpg?v=0.06,0,0,0,0
J. Bakayoko,7,FWD,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
D. Undav,7,FWD,GER,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
M. Asensio,7,MID,ESP,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
Rodri,6.5,MID,ESP,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250082664.jpg?v=0.06,0,0,0,0
L. Yamal,6.5,FWD,ESP,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
S. McTominay,6.5,MID,SCO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250088240.jpg?v=0.06,0,0,0,0
T. Kroos,6.5,MID,GER,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
J. Kimmich,6.5,MID,GER,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250070417.jpg?v=0.06,0,0,0,0
D. Rice,6.5,MID,ENG,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250083732.jpg?v=0.06,0,0,0,0
H. Çalhanoğlu,6.5,MID,TUR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250022829.jpg?v=0.06,0,0,0,0
F. De Jong,6.5,MID,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250084709.jpg?v=0.06,0,0,0,0
J. McGinn,6.5,MID,SCO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250058958.jpg?v=0.06,0,0,0,0
P. Zieliński,6.5,MID,POL,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024370.jpg?v=0.06,0,0,0,0
S. Milinković-Savić,6.5,MID,SRB,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250059163.jpg?v=0.06,0,0,0,0
J. Brandt,6.5,MID,GER,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250046522.jpg?v=0.06,0,0,0,0
L. Goretzka,6.5,MID,GER,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250041771.jpg?v=0.06,0,0,0,0
T. Werner,6.5,FWD,GER,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
M. Kovačić,6.5,MID,CRO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250023551.jpg?v=0.06,0,0,0,0
A. Rabiot,6.5,MID,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250053905.jpg?v=0.06,0,0,0,0
M. Diaby,6.5,MID,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250087432.jpg?v=0.06,0,0,0,0
T. Koopmeiners,6.5,MID,NED,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
M. Sabitzer,6.5,MID,AUT,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024349.jpg?v=0.06,0,0,0,0
I. Perišić,6.5,MID,CRO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/103310.jpg?v=0.06,0,0,0,0
X. Shaqiri,6.5,MID,SUI,https://img.uefa.com/imgml/TP/players/3/2024/324x324/1905360.jpg?v=0.06,0,0,0,0
R. Horta,6.5,FWD,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250062142.jpg?v=0.06,0,0,0,0
L. Haraslín,6.5,MID,SVK,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250058722.jpg?v=0.06,0,0,0,0
K. Dolberg,6.5,FWD,DEN,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
A. Skov Olsen,6.5,FWD,DEN,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
J. Mário,6.5,MID,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250014109.jpg?v=0.06,0,0,0,0
Otávio,6.5,MID,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250085693.jpg?v=0.06,0,0,0,0
C. Wilson,6.5,FWD,ENG,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
C. Gallagher,6.5,MID,ENG,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
M. O'Riley,6.5,MID,DEN,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
D. Lukébakio,6.5,FWD,BEL,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250067658.jpg?v=0.06,0,0,0,0
C. De Ketelaere,6.5,MID,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
N. Okafor,6.5,FWD,SUI,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250101696.jpg?v=0.06,0,0,0,0
M. Beier,6.5,FWD,GER,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
M. Livaja,6.5,FWD,CRO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250005676.jpg?v=0.06,0,0,0,0
L. Majer,6.5,MID,CRO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250098470.jpg?v=0.06,0,0,0,0
F. Kostić,6.5,MID,SRB,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024301.jpg?v=0.06,0,0,0,0
D. Tadić,6.5,FWD,SRB,https://img.uefa.com/imgml/TP/players/3/2024/324x324/1902464.jpg?v=0.06,0,0,0,0
I. Toney,6.5,FWD,ENG,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
F. Ruiz,6.5,MID,ESP,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250115436.jpg?v=0.06,0,0,0,0
G. Sudakov,6.5,MID,UKR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250119181.jpg?v=0.06,0,0,0,0
B. Brobbey,6.5,FWD,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250112997.jpg?v=0.06,0,0,0,0
M. Gregoritsch,6.5,FWD,AUT,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250023832.jpg?v=0.06,0,0,0,0
I. Aspas,6.5,FWD,ESP,https://img.uefa.com/imgml/TP/players/3/2024/324x324/109132.jpg?v=0.06,0,0,0,0
W. Weghorst,6.5,FWD,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250078682.jpg?v=0.06,0,0,0,0
V. Grifo,6.5,MID,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066467.jpg?v=0.06,0,0,0,0
G. Bonaventura,6.5,MID,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250000874.jpg?v=0.06,0,0,0,0
D. Frattesi,6.5,MID,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250088150.jpg?v=0.06,0,0,0,0
N. Vlašić,6.5,MID,CRO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066135.jpg?v=0.06,0,0,0,0
M. Politano,6.5,FWD,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250050381.jpg?v=0.06,0,0,0,0
C. Baumgartner,6.5,MID,AUT,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250089289.jpg?v=0.06,0,0,0,0
İ. Kahveci,6.5,MID,TUR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250046542.jpg?v=0.06,0,0,0,0
J. Veerman,6.5,MID,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250105890.jpg?v=0.06,0,0,0,0
B. Embolo,6.5,FWD,SUI,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250064274.jpg?v=0.06,0,0,0,0
Z. Amdouni,6.5,FWD,SUI,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250162865.jpg?v=0.06,0,0,0,0
N. Zaniolo,6.5,FWD,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250107324.jpg?v=0.06,0,0,0,0
A. Živković,6.5,FWD,SRB,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250042213.jpg?v=0.06,0,0,0,0
C. Stengs,6.5,MID,NED,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
V. Van Dijk,6,DEF,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250043137.jpg?v=0.06,0,0,0,0
J. Cancelo,6,DEF,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250024746.jpg?v=0.06,0,0,0,0
G. Donnarumma,6,GK,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250078922.jpg?v=0.06,0,0,0,0
M. Neuer,6,GK,GER,https://img.uefa.com/imgml/TP/players/3/2024/324x324/97923.jpg?v=0.06,0,0,0,0
R. Dias,6,DEF,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250058220.jpg?v=0.06,0,0,0,0
A. Güler,6,MID,TUR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250161881.jpg?v=0.06,0,0,0,0
A. Tchouameni,6,MID,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250105244.jpg?v=0.06,0,0,0,0
Vitinha,6,MID,POR,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250101444.jpg?v=0.06,0,0,0,0
G. Xhaka,6,MID,SUI,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250004721.jpg?v=0.06,0,0,0,0
K. Trippier,6,DEF,ENG,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
Y. Tielemans,6,MID,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
E. Camavinga,6,MID,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250128270.jpg?v=0.06,0,0,0,0
Gavi,6,MID,ESP,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250139255.jpg?v=0.06,0,0,0,0
K. Laimer,6,MID,AUT,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250065413.jpg?v=0.06,0,0,0,0
M. Brozović,6,MID,CRO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250040564.jpg?v=0.06,0,0,0,0
T. Souček,6,MID,CZE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250066618.jpg?v=0.06,0,0,0,0
M. Damsgaard,6,MID,DEN,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250118062.jpg?v=0.06,0,0,0,0
W. Zaïre-Emery,6,MID,FRA,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
G. Wijnaldum,6,MID,NED,https://img.uefa.com/imgml/TP/players/3/2024/324x324/103813.jpg?v=0.06,0,0,0,0
M. Uzuni,6,FWD,ALB,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250081975.jpg?v=0.06,0,0,0,0
S. Çikalleshi,6,FWD,ALB,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250005325.jpg?v=0.06,0,0,0,0
N. Bajrami,6,MID,ALB,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250089373.jpg?v=0.06,0,0,0,0
M. Grüll,6,MID,AUT,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250137446.jpg?v=0.06,0,0,0,0
R. Schmid,6,MID,AUT,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250097378.jpg?v=0.06,0,0,0,0
M. Cham,6,MID,AUT,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250126258.jpg?v=0.06,0,0,0,0
F. Kainz,6,MID,AUT,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250020929.jpg?v=0.06,0,0,0,0
A. Prass,6,MID,AUT,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250114170.jpg?v=0.06,0,0,0,0
M. Batshuayi,6,FWD,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
O. Deman,6,MID,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
A. Vermeeren,6,MID,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
A. Saelemaekers,6,MID,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
A. Onana,6,MID,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
H. Vanaken,6,MID,BEL,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
J. Brekalo,6,FWD,CRO,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
M. Pašalić,6,FWD,CRO,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
B. Petković,6,FWD,CRO,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250063394.jpg?v=0.06,0,0,0,0
M. Baturina,6,MID,CRO,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
V. Jurečka,6,FWD,CZE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250159151.jpg?v=0.06,0,0,0,0
J. Kuchta,6,FWD,CZE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250090804.jpg?v=0.06,0,0,0,0
M. Chytil,6,FWD,CZE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250092161.jpg?v=0.06,0,0,0,0
L. Provod,6,MID,CZE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250064811.jpg?v=0.06,0,0,0,0
O. Lingr,6,MID,CZE,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250077922.jpg?v=0.06,0,0,0,0
M. Braithwaite,6,FWD,DEN,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250013677.jpg?v=0.06,0,0,0,0
Y. Poulsen,6,FWD,DEN,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250022869.jpg?v=0.06,0,0,0,0
M. Jensen,6,MID,DEN,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250080451.jpg?v=0.06,0,0,0,0
Y. Fofana,6,MID,FRA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250132399.jpg?v=0.06,0,0,0,0
B. Varga,6,FWD,HUN,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250183450.jpg?v=0.06,0,0,0,0
K. Horváth,6,MID,HUN,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
W. Gnonto,6,FWD,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250135406.jpg?v=0.06,0,0,0,0
M. Kean,6,FWD,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250087919.jpg?v=0.06,0,0,0,0
S. El Shaarawy,6,FWD,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250006202.jpg?v=0.06,0,0,0,0
M. Retegui,6,FWD,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250183519.jpg?v=0.06,0,0,0,0
M. Pessina,6,MID,ITA,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250121401.jpg?v=0.06,0,0,0,0
N. Lang,6,FWD,NED,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
T. Dallinga,6,FWD,NED,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
T. Reijnders,6,MID,NED,https://gaming.uefa.com/en/eurofantasy/static-assets/euro2024/images/default_player@2x.png?v=0.09,0,0,0,0
M. Skóraś,6,FWD,POL,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250105686.jpg?v=0.06,0,0,0,0
K. Piątek,6,FWD,POL,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250098778.jpg?v=0.06,0,0,0,0
D. Szymański,6,MID,POL,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250110207.jpg?v=0.06,0,0,0,0
S. Szymański,6,MID,POL,https://img.uefa.com/imgml/TP/players/3/2024/324x324/250087872.jpg?v=0.06,0,0,0,0
